id,name,description,severity_scale,example_violation,example_fix
1,Visibility of system status,The system should always keep users informed about what is going on through appropriate feedback within reasonable time,"0=No feedback at all,1=Delayed or unclear feedback,2=Feedback exists but inconsistent,3=Minor gaps in feedback,4=Comprehensive real-time feedback",Form submits with no loading indicator or success message — user clicks Save and nothing happens,Add spinner on button during submission and show success toast with checkmark after completion
2,Match between system and real world,The system should speak the user's language with words and concepts familiar to the user rather than system-oriented terms,"0=Jargon-filled interface,1=Many unfamiliar terms,2=Some developer terms leak through,3=Mostly user-friendly with minor issues,4=Natural language throughout",Error message shows "ERR_NULL_POINTER: Object reference not set" or dropdown shows database enum values like "ACTIVE_STATUS_1",Show "Something went wrong. Please try again." and use human-readable labels like "Active" instead of enum codes
3,User control and freedom,Users often choose system functions by mistake and need a clearly marked emergency exit to leave the unwanted state without going through an extended dialogue,"0=No undo or escape possible,1=Limited exit options,2=Some actions irreversible,3=Most actions reversible with minor gaps,4=Full undo/redo and clear exits",Delete button removes record immediately with no confirmation or undo — data is permanently lost,Add confirmation dialog "Delete this item? This cannot be undone." with Cancel/Delete buttons and optional 5-second undo toast
4,Consistency and standards,Users should not have to wonder whether different words or situations or actions mean the same thing — follow platform conventions,"0=No consistent patterns,1=Major inconsistencies,2=Several inconsistent elements,3=Mostly consistent with minor deviations,4=Fully consistent patterns",Save button appears on the left in one form but on the right in another; some modals close with X and others with Cancel,Establish and document a pattern: primary action always on the right and all modals have both X button and Cancel
5,Error prevention,Even better than good error messages is a careful design which prevents a problem from occurring in the first place,"0=No error prevention,1=Minimal prevention,2=Some input constraints,3=Good prevention with gaps,4=Comprehensive prevention",Date picker allows selecting end date before start date or email field accepts any text without validation,Disable dates before start date in the end-date picker and validate email format on blur with inline feedback
6,Recognition rather than recall,Minimize the user's memory load by making objects and actions visible — the user should not have to remember information from one part of the dialogue to another,"0=Heavy reliance on memory,1=Many recall requirements,2=Some hidden information,3=Mostly visible with minor gaps,4=Everything visible in context",Employee selection shows only ID numbers requiring users to memorize which ID belongs to which person,Show employee name with avatar and department in the dropdown with search/filter capability
7,Flexibility and efficiency of use,Accelerators — unseen by the novice user — may often speed up the interaction for the expert user such that the system can cater to both inexperienced and experienced users,"0=No shortcuts or efficiency features,1=Very limited efficiency options,2=Some shortcuts available,3=Good shortcuts with minor gaps,4=Comprehensive accelerators for experts",Every action requires clicking through 3 menus — no keyboard shortcuts or bulk operations available,Add Ctrl+S to save and Ctrl+Z to undo; provide bulk select with checkboxes and batch actions toolbar
8,Aesthetic and minimalist design,Dialogues should not contain information which is irrelevant or rarely needed — every extra unit of information competes with relevant units and diminishes their relative visibility,"0=Overwhelming clutter,1=Significant noise,2=Some unnecessary elements,3=Mostly clean with minor clutter,4=Every element earns its space",Dashboard shows 15 metrics in equal-sized cards with no hierarchy — user cannot identify what matters most,Prioritize 3-4 key metrics prominently and group secondary metrics in a collapsible section or separate tab
9,Help users recognize and recover from errors,Error messages should be expressed in plain language indicating the problem and constructively suggest a solution,"0=No error handling or cryptic errors,1=Generic error messages,2=Some helpful errors,3=Good error messages with minor gaps,4=All errors are clear with recovery steps","Toast shows ""Error"" and disappears after 2 seconds — user has no idea what went wrong or how to fix it","Show inline error near the field: ""Email already registered. Try signing in instead."" with a link to the sign-in page"
10,Help and documentation,Even though it is better if the system can be used without documentation it may be necessary to provide help and documentation — any such information should be easy to search and focused on the user's task,"0=No help available,1=Minimal documentation,2=Help exists but hard to find,3=Good help with minor gaps,4=Contextual help throughout",Complex reporting feature has no tooltips or explanation — users guess what each filter and option does,Add (?) tooltip icons next to complex fields with brief explanations and link to a focused help article
