source_id,title_as_cited,url,accessed,publisher
S001,Omarchy issue #5423,https://github.com/omacom/omarchy/issues/5423#issuecomment-4313024503,2026-09-13,omacom/omarchy
S002,Dyad disposal test,https://github.com/dyad-sh/dyad/commit/0f10c2326d132f9d8b54ab4d51774bac65453b64,2026-09-13,dyad-sh/dyad
S003,Dyad disconnect,https://github.com/dyad-sh/dyad/pull/4187#discussion_r3725735279,2026-09-13,dyad-sh/dyad
S004,OpenHands คำสั่งแก้ซ้ำ,https://github.com/OpenHands/OpenHands/pull/8310#discussion_r2083685712,2026-09-13,OpenHands/OpenHands
S005,Dyad Neon Auth,https://github.com/dyad-sh/dyad/pull/4187#discussion_r3717925547,2026-09-13,dyad-sh/dyad
S006,Omarchy #6093,https://github.com/omacom/omarchy/pull/6093,2026-09-13,omacom/omarchy
S007,OpenHands independent re-evaluation,https://github.com/OpenHands/OpenHands/pull/8310#pullrequestreview-2847914134,2026-09-13,OpenHands/OpenHands
S008,Dyad PR,https://github.com/dyad-sh/dyad/pull/4187,2026-09-13,dyad-sh/dyad
S009,run ที่บาง job fail ก่อน merge,https://github.com/dyad-sh/dyad/actions/runs/31821951795,2026-09-13,dyad-sh/dyad
S010,GitHub: multiple authors,https://docs.github.com/en/pull-requests/how-tos/commit-changes/creating-a-commit-with-multiple-authors,2026-09-13,GitHub Docs
S011,Omarchy review,https://github.com/omacom/omarchy/pull/5435#discussion_r3142496458,2026-09-13,omacom/omarchy
S012,Dyad,https://github.com/dyad-sh/dyad/pull/4187#discussion_r3717928781,2026-09-13,dyad-sh/dyad
S013,GitHub: troubleshooting required status checks,https://docs.github.com/en/pull-requests/how-tos/merge-and-close-pull-requests/troubleshooting-required-status-checks,2026-09-13,GitHub Docs
S014,anomalyco/opencode,https://github.com/anomalyco/opencode,2026-09-13,anomalyco/opencode
S015,anomalyco/opentui,https://github.com/anomalyco/opentui,2026-09-13,anomalyco/opentui
S016,cline/cline,https://github.com/cline/cline,2026-09-13,cline/cline
S017,RooCodeInc/Roo-Code,https://github.com/RooCodeInc/Roo-Code,2026-09-13,RooCodeInc/Roo-Code
S018,aaif-goose/goose,https://github.com/aaif-goose/goose,2026-09-13,aaif-goose/goose
S019,openai/codex,https://github.com/openai/codex,2026-09-13,openai/codex
S020,browser-use/browser-use,https://github.com/browser-use/browser-use,2026-09-13,browser-use/browser-use
S021,microsoft/markitdown,https://github.com/microsoft/markitdown,2026-09-13,microsoft/markitdown
S022,astral-sh/ty,https://github.com/astral-sh/ty,2026-09-13,astral-sh/ty
S023,dyad-sh/dyad,https://github.com/dyad-sh/dyad,2026-09-13,dyad-sh/dyad
S024,omacom/omarchy,https://github.com/omacom/omarchy,2026-09-13,omacom/omarchy
S025,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,2026-09-13,OpenHands/OpenHands
S026,BerriAI/litellm,https://github.com/BerriAI/litellm,2026-09-13,BerriAI/litellm
S027,OpenHands/OpenHands #8310,https://github.com/OpenHands/OpenHands/pull/8310,2026-09-13,OpenHands/OpenHands
S028,omacom/omarchy #5435,https://github.com/omacom/omarchy/pull/5435,2026-09-13,omacom/omarchy
S029,omacom/omarchy #6388,https://github.com/omacom/omarchy/pull/6388,2026-09-13,omacom/omarchy
S030,cline/cline #13968,https://github.com/cline/cline/pull/13968,2026-09-13,cline/cline
S031,cline/cline #13969,https://github.com/cline/cline/pull/13969,2026-09-13,cline/cline
S032,RooCodeInc/Roo-Code #11409,https://github.com/RooCodeInc/Roo-Code/pull/11409,2026-09-13,RooCodeInc/Roo-Code
S033,aaif-goose/goose #11307,https://github.com/aaif-goose/goose/pull/11307,2026-09-13,aaif-goose/goose
S034,anomalyco/opencode #44281,https://github.com/anomalyco/opencode/pull/44281,2026-09-13,anomalyco/opencode
S035,BerriAI/litellm #40785,https://github.com/BerriAI/litellm/pull/40785,2026-09-13,BerriAI/litellm
S036,BerriAI/litellm #40841,https://github.com/BerriAI/litellm/pull/40841,2026-09-13,BerriAI/litellm
S037,anomalyco/opencode #47286,https://github.com/anomalyco/opencode/pull/47286,2026-09-13,anomalyco/opencode
S038,anomalyco/opencode #47455,https://github.com/anomalyco/opencode/pull/47455,2026-09-13,anomalyco/opencode
S039,anomalyco/opentui #1481,https://github.com/anomalyco/opentui/pull/1481,2026-09-13,anomalyco/opentui
S040,anomalyco/opentui #1314,https://github.com/anomalyco/opentui/pull/1314,2026-09-13,anomalyco/opentui
S041,ข้อทักท้วง,https://github.com/dyad-sh/dyad/pull/4187#discussion_r3709212241,2026-09-13,dyad-sh/dyad
S042,commit 43110685,https://github.com/dyad-sh/dyad/commit/43110685df945df319bf0cea53030707f2ffbf26,2026-09-13,dyad-sh/dyad
