case_id,repo,pr,kind,actor_account,account_type,created_or_submitted_at,updated_at,url,reply_to_id,commit_id,file
P1,dyad-sh/dyad,4187,comments,gemini-code-assist[bot],Bot,2026-08-04T03:15:50Z,2026-08-04T03:15:50Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5174191567,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-04T03:26:27Z,2026-08-04T03:26:27Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5174257963,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-05T04:44:12Z,2026-08-05T04:44:12Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5187642529,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-06T03:51:12Z,2026-08-06T03:51:12Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5200175838,,,
P1,dyad-sh/dyad,4187,comments,chatgpt-codex-connector[bot],Bot,2026-08-06T16:45:37Z,2026-08-06T16:45:37Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5207550166,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-08T22:04:48Z,2026-08-08T22:04:48Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5228412930,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-09T05:28:11Z,2026-08-09T05:28:11Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5229952095,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-09T20:29:50Z,2026-08-09T20:29:50Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5233695027,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-09T22:03:18Z,2026-08-09T22:03:18Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5234068498,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-10T00:34:56Z,2026-08-10T00:34:56Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5234690819,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-10T03:25:30Z,2026-08-10T03:25:30Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5235530047,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-10T20:29:13Z,2026-08-10T20:29:13Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5245602285,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-11T01:00:39Z,2026-08-11T01:00:39Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5247828418,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-11T06:04:16Z,2026-08-11T06:04:16Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5249572241,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-11T17:31:43Z,2026-08-11T17:31:43Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5256635232,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-11T19:36:16Z,2026-08-11T19:36:16Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5257927397,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-11T22:06:01Z,2026-08-11T22:06:01Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5259388807,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-12T18:51:04Z,2026-08-12T18:51:04Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5271306734,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-13T00:00:12Z,2026-08-13T00:00:12Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5274201927,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-13T02:19:50Z,2026-08-13T02:19:50Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5275173254,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-13T06:50:25Z,2026-08-13T06:50:25Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5277015018,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-13T18:58:58Z,2026-08-13T18:58:58Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5285113617,,,
P1,dyad-sh/dyad,4187,comments,dyad-assistant[bot],Bot,2026-08-13T21:43:01Z,2026-08-13T21:43:01Z,https://github.com/dyad-sh/dyad/pull/4187#issuecomment-5286728112,,,
