id,rule,wcag_criterion,level,description,check_method,common_violation,fix
1,color-contrast,1.4.3 Contrast (Minimum),AA,Text must have sufficient contrast against its background — 4.5:1 for normal text and 3:1 for large text (18px+ or 14px+ bold),Use browser DevTools color picker or axe-core contrast checker on all text elements,Light gray text (#999) on white background gives only 2.8:1 ratio,Change text color to #595959 or darker to achieve 4.5:1 minimum ratio
2,color-contrast-enhanced,1.4.6 Contrast (Enhanced),AAA,Enhanced contrast requires 7:1 for normal text and 4.5:1 for large text,Same as 1.4.3 but with stricter thresholds — check all body text especially,Body text at #666 on white gives 5.7:1 which passes AA but fails AAA,Use #404040 or darker for body text to achieve 7:1 ratio for AAA
3,non-text-contrast,1.4.11 Non-text Contrast,AA,UI components and graphical objects must have 3:1 contrast ratio against adjacent colors,Check borders of input fields and icons and chart elements against their backgrounds,Input field with #ccc border on white background gives only 1.6:1 ratio,Change input border to #767676 or darker to achieve 3:1 minimum
4,keyboard-access,2.1.1 Keyboard,A,All functionality must be operable through keyboard without requiring specific timings for individual keystrokes,Tab through entire page — every interactive element must be reachable and activatable via keyboard,Custom dropdown built with div and span elements has no keyboard support — cannot Tab to it or use Arrow keys,Use native select or add tabindex and role=listbox with keydown handlers for Arrow and Enter and Escape keys
5,no-keyboard-trap,2.1.2 No Keyboard Trap,A,If keyboard focus can be moved to a component the focus can also be moved away using only keyboard,Tab into every component and verify you can Tab out — especially modals and custom widgets,Modal dialog traps focus and Tab cycles only within modal but Escape does not close it,Add Escape key handler to close modal and return focus to the trigger element
6,focus-visible,2.4.7 Focus Visible,AA,Any keyboard-operable UI has a visible focus indicator,Tab through page and verify every focused element shows a visible outline or ring,CSS includes outline: none or outline: 0 globally removing all focus indicators,Add focus-visible styles with 2px solid outline offset by 2px in a contrasting color
7,focus-appearance,2.4.11 Focus Not Obscured (Minimum),AA,When a UI component receives focus the focus indicator is not entirely hidden by author-created content,Check that sticky headers and footers and floating elements do not cover focused items,Sticky navigation bar covers the focused element when Tabbing through items near the top of the viewport,Add scroll-padding-top equal to sticky header height or use scroll-margin on focusable elements
8,heading-order,1.3.1 Info and Relationships,A,Headings must follow a logical hierarchical order without skipping levels,Inspect DOM for heading elements and verify h1 then h2 then h3 order with no skips,Page has h1 then jumps to h4 then back to h2 — heading hierarchy is broken,Restructure headings to follow sequential order: h1 for page title then h2 for sections then h3 for subsections
9,image-alt,1.1.1 Non-text Content,A,All non-decorative images must have alternative text that describes the image content or purpose,Check every img element for alt attribute — informative images need descriptive alt and decorative images need alt="" or aria-hidden=true,Product image shows img src=product.jpg with no alt attribute — screen reader announces file name,Add descriptive alt text: alt="Blue running shoe Nike Air Max side view" or alt="" if purely decorative
10,link-purpose,2.4.4 Link Purpose (In Context),A,The purpose of each link can be determined from the link text alone or from the link text together with its context,Check all links for descriptive text — avoid generic text that gives no context,Multiple links on page all say "Click here" or "Read more" with no distinguishing context,Use descriptive link text: "Read the accessibility guidelines" or add aria-label="Read more about accessibility"
11,label-present,1.3.1 Info and Relationships,A,Every form input must have a programmatically associated label element,Check that every input has a label with matching for and id attributes or is wrapped in a label element,Input field uses placeholder="Email" as the only label — disappears when user types and is not announced by screen readers,Add visible label element: label for=email followed by input id=email with placeholder as supplementary hint only
12,aria-required,4.1.2 Name and Role and Value,A,Custom interactive elements must have appropriate ARIA attributes to convey name and role and state,Check custom components for proper role and aria-label and aria-expanded and aria-selected attributes,Custom toggle switch is a styled div with onClick but has no role=switch or aria-checked attribute,Add role=switch and aria-checked=true/false and aria-label="Enable notifications" to the toggle element
13,touch-target-size,2.5.8 Target Size (Minimum),AA,Interactive targets must be at least 24x24 CSS pixels with 48x48 recommended,Measure clickable element dimensions including padding — check on mobile viewport,Small icon button is 16x16px with no padding making it nearly impossible to tap accurately on mobile,Add padding to make the hit area at least 48x48px or use min-width and min-height: 48px on the button
14,skip-navigation,2.4.1 Bypass Blocks,A,A mechanism is available to bypass blocks of content that are repeated on multiple pages,Check for skip link as first focusable element — it should be hidden until focused,No skip link present — keyboard users must Tab through entire navigation on every page load,Add a skip link as first element in body: a href=#main class=sr-only focus:not-sr-only followed by main id=main
15,language-of-page,3.1.1 Language of Page,A,The default human language of each page can be programmatically determined,Check html element for lang attribute with valid language code,HTML tag has no lang attribute — screen readers cannot determine correct pronunciation language,Add lang="th" or lang="en" to the html element matching the primary content language
16,error-identification,3.3.1 Error Identification,A,If an input error is automatically detected the item in error is identified and the error described in text,Submit forms with invalid data and verify error messages appear near the problematic field,Form shows a single red banner "There are errors" at the top with no indication of which fields have problems,Show inline error message below each invalid field with aria-describedby linking error text to the input
17,error-suggestion,3.3.3 Error Suggestion,AA,If an input error is detected and suggestions are known they are provided to the user,Check that error messages include actionable guidance not just what is wrong,Error says "Invalid date" without explaining the expected format,Show "Invalid date. Please use DD/MM/YYYY format" or provide a date picker as alternative input
18,resize-text,1.4.4 Resize Text,AA,Text can be resized up to 200% without loss of content or functionality,Zoom browser to 200% and verify no text is clipped and no functionality is lost and layout remains usable,Text overflows containers when zoomed to 200% and buttons become unreachable or overlap,Use relative units (rem and em) instead of px for font sizes and ensure containers expand with content
19,reflow,1.4.10 Reflow,AA,Content can be presented without loss of information or functionality and without requiring scrolling in two dimensions at 320px width,Set viewport to 320px width and verify content reflows to single column without horizontal scroll,Desktop layout shows side-by-side columns that cause horizontal scrolling at 320px,Use responsive CSS with media queries and flex-wrap or single-column layout at small viewports
20,motion-animation,2.3.3 Animation from Interactions,AAA,Motion animation triggered by interaction can be disabled unless the animation is essential,Check for prefers-reduced-motion media query in CSS and JavaScript animations,Parallax scrolling and hover animations play regardless of user motion preferences,Wrap animations in @media (prefers-reduced-motion: no-preference) and provide static fallbacks
21,autocomplete,1.3.5 Identify Input Purpose,AA,The purpose of each input field collecting user information can be programmatically determined,Check form inputs for appropriate autocomplete attributes on personal data fields,Login form has no autocomplete attributes — password managers cannot auto-fill credentials,Add autocomplete=email on email field and autocomplete=current-password on password field
22,status-messages,4.1.3 Status Messages,AA,Status messages can be programmatically determined through role or properties so they can be presented without receiving focus,Check that toast notifications and inline status updates use aria-live or role=status,Success toast appears visually but screen reader users are not informed of the status change,Add role=status or aria-live=polite to the toast container so screen readers announce the message
23,consistent-navigation,3.2.3 Consistent Navigation,AA,Navigation mechanisms that are repeated on multiple pages occur in the same relative order each time,Compare navigation across multiple pages — check order and placement consistency,Main navigation items appear in different order on different pages or sidebar moves sides,Use a shared navigation component with fixed item order rendered identically on all pages
24,visible-labels,2.5.3 Label in Name,A,For UI components with visible text labels the accessible name contains the visible text,Check that aria-label or aria-labelledby includes the visible button or link text,Button shows "Submit" visually but has aria-label="Send form data" — voice control users say Submit but it does not match,Ensure aria-label matches or includes the visible text: aria-label="Submit form" includes the visible word Submit
25,pointer-cancellation,2.5.2 Pointer Cancellation,A,For single-pointer functionality at least one of the following is true: down-event is not used or can be aborted or reversed,Check that click actions fire on mouseup/pointerup not mousedown and can be cancelled by moving pointer away,Drag-and-drop triggers action on mousedown — user cannot cancel by releasing outside the target,Use click event (mouseup) instead of mousedown and allow cancellation by moving pointer away before releasing
